Gene.symbol,P.Value,logFC,Cell Line
NAGK,0.0123,-0.38108155,BAS
MAPK11,0.0247,-0.38092166,BAS
ELAPOR2,0.0147,-0.38090833,BAS
NIPBL,0.0104,-0.38086295,BAS
CTR9,0.0149,-0.38082931,BAS
HECTD1,0.0173,-0.38067299,BAS
RAD9B,0.0124,-0.38061978,BAS
ADAT1,0.0268,-0.38045021,BAS
UHMK1,0.0213,-0.38014286,BAS
NEIL3,0.0235,-0.37972591,BAS
SURF4,0.0167,-0.37948125,BAS
CAMK1,0.0346,-0.3794428,BAS
RIC1,0.0435,-0.37930162,BAS
COL5A2,0.0176,-0.3792107,BAS
ELK4,0.0208,-0.37915783,BAS
CHIC1,0.017,-0.37908835,BAS
SPTBN1,0.0201,-0.37903807,BAS
RBAK,0.0158,-0.37883652,BAS
SEC24A,0.0302,-0.37869935,BAS
HERPUD2,0.0125,-0.37860948,BAS
PEX11G,0.0318,-0.37835266,BAS
AGPAT3,0.021,-0.37827979,BAS
TP53BP2,0.0205,-0.37824994,BAS
VPS18,0.0278,-0.37815165,BAS
RMDN2,0.0152,-0.37808696,BAS
UBXN8,0.0308,-0.37803752,BAS
ASF1A,0.0485,-0.37801812,BAS
TTYH1,0.0362,-0.37798039,BAS
LNPK,0.0142,-0.37795176,BAS
TMX4,0.013,-0.37782175,BAS
ZWINT,0.0195,-0.37755896,BAS
CDC42SE2,0.0198,-0.37746588,BAS
STOML1,0.0307,-0.377442,BAS
SFT2D2,0.0176,-0.37742752,BAS
ALG13,0.0213,-0.37742491,BAS
LDLRAD2,0.038,-0.37714715,BAS
CLASP1,0.0305,-0.37676134,BAS
RASSF5,0.0288,-0.37671265,BAS
KHDC4,0.0234,-0.37668763,BAS
NSMCE2,0.0184,-0.37653729,BAS
ADRB1,0.0388,-0.37601328,BAS
KRTAP1-4,0.0251,-0.37599191,BAS
DOK7,0.0376,-0.3759145,BAS
TSTD1,0.0276,-0.3758022,BAS
EXT2,0.0253,-0.37564789,BAS
NSUN5P2,0.0145,-0.37564382,BAS
USP46,0.0308,-0.37563952,BAS
INSIG1,0.0274,-0.37520358,BAS
EPB41L4A-DT,0.0289,-0.37485228,BAS
FOXJ2,0.0282,-0.37472301,BAS
FNTA,0.0183,-0.37469251,BAS
KIF1B,0.0209,-0.37461607,BAS
FER1L5,0.0178,-0.37453002,BAS
PTPN3,0.0218,-0.37444788,BAS
FBXO4,0.0122,-0.37418245,BAS
TUBGCP3,0.0154,-0.37412753,BAS
ERCC6L2,0.0301,-0.37405259,BAS
HTR4,0.0353,-0.37397479,BAS
NFAT5,0.0312,-0.37392946,BAS
CRCP,0.0281,-0.3738978,BAS
FAM167A,0.0184,-0.37385611,BAS
KANK2,0.0185,-0.37371509,BAS
RNF24,0.0196,-0.3737117,BAS
TMX2,0.0297,-0.3736876,BAS
HIF1A,0.0217,-0.37362063,BAS
EZH1,0.0226,-0.37356878,BAS
EEF1AKMT1,0.0442,-0.37353349,BAS
ADCK1,0.0397,-0.37350605,BAS
CT47A7,0.0452,-0.37323283,BAS
RHOU,0.0147,-0.37314319,BAS
SCGB1D2,0.033,-0.37307614,BAS
CLIC4,0.0243,-0.37306986,BAS
SLC35F2,0.0193,-0.37302776,BAS
SETD9,0.0167,-0.3728446,BAS
CCDC50,0.0203,-0.37275567,BAS
ARHGEF9,0.0198,-0.37275309,BAS
RAI14,0.0212,-0.37234627,BAS
PRLH,0.0303,-0.37229665,BAS
TMEM178A,0.0352,-0.37211125,BAS
MATR3,0.0256,-0.37187221,BAS
CDK5,0.0316,-0.37138437,BAS
DDX55,0.0294,-0.37136333,BAS
TRIB2,0.042,-0.3712596,BAS
PLEKHB1,0.0409,-0.37107597,BAS
SPEF2,0.0432,-0.37088301,BAS
NDE1,0.0256,-0.37049441,BAS
SLAMF7,0.018,-0.37048579,BAS
EIF1AD,0.0279,-0.37036792,BAS
SMAD5,0.0357,-0.37035474,BAS
RNF170,0.0318,-0.37028486,BAS
ARHGAP21,0.0263,-0.37027578,BAS
SLC39A1,0.0342,-0.37015575,BAS
ARRDC3,0.0124,-0.37003623,BAS
WWOX,0.0174,-0.37001549,BAS
HUS1,0.0173,-0.36996626,BAS
BAG2,0.0149,-0.36983405,BAS
ZDHHC5,0.0351,-0.36980676,BAS
DYM,0.0149,-0.36946538,BAS
CHRNA10,0.0277,-0.36927889,BAS
FAM89B,0.0223,-0.36915083,BAS
HSP90AA1,0.0266,-0.36898143,BAS
THAP9,0.0412,-0.36897019,BAS
L3MBTL2,0.0255,-0.36883336,BAS
HSD17B4,0.0223,-0.36882595,BAS
NIPA1,0.0185,-0.36869086,BAS
BEST2,0.032,-0.36862521,BAS
MBIP,0.0396,-0.36856285,BAS
SP110,0.0264,-0.36831744,BAS
TM4SF5,0.0397,-0.36782028,BAS
IGBP1,0.0233,-0.36780811,BAS
ADIPOR1,0.0238,-0.36778067,BAS
PLCL2,0.0168,-0.36777344,BAS
PLEKHA8P1,0.0138,-0.36761579,BAS
SYVN1,0.0277,-0.36760402,BAS
STAB1,0.0218,-0.36750424,BAS
UFSP2,0.026,-0.36746195,BAS
LINC01537,0.0465,-0.36722915,BAS
LRP8,0.029,-0.36711622,BAS
CHST12,0.0283,-0.36691083,BAS
TSPAN3,0.0236,-0.36678746,BAS
NPIPA5,0.0341,-0.36671141,BAS
GOLGA8EP,0.0182,-0.36658583,BAS
IER3IP1,0.0227,-0.36650648,BAS
MAPK9,0.0238,-0.36631896,BAS
PSAT1,0.0329,-0.36628328,BAS
CSGALNACT1,0.0278,-0.36617341,BAS
TNKS,0.0154,-0.36607172,BAS
SLF2,0.0266,-0.36586232,BAS
BNIP3,0.0284,-0.36583236,BAS
RBM17,0.0187,-0.36568065,BAS
DNAJC27,0.0208,-0.3656363,BAS
STYX,0.0262,-0.36560107,BAS
SCN2A,0.0445,-0.36556897,BAS
CYP2U1,0.0214,-0.36542356,BAS
CEACAM18,0.0218,-0.36520574,BAS
BTAF1,0.031,-0.36506462,BAS
ANGPTL5,0.0151,-0.36504452,BAS
SLC35G1,0.0266,-0.36503408,BAS
CCN3,0.0385,-0.3649859,BAS
THAP9-AS1,0.0288,-0.36496907,BAS
RWDD2B,0.03,-0.3649209,BAS
NDUFB6,0.0321,-0.36474346,BAS
PEBP4,0.0267,-0.36469061,BAS
CERCAM,0.0303,-0.36458408,BAS
TM9SF1,0.0209,-0.36422066,BAS
STXBP3,0.0346,-0.36410549,BAS
TUFT1,0.038,-0.36410263,BAS
TRPC5,0.0252,-0.36395852,BAS
USPL1,0.017,-0.36393463,BAS
AARS1,0.0265,-0.36386181,BAS
NDUFC1,0.038,-0.36364768,BAS
ATP6V1B2,0.0189,-0.36361173,BAS
PIGY,0.0206,-0.36353667,BAS
BLZF1,0.0261,-0.36352714,BAS
RGS16,0.0248,-0.36349079,BAS
SCN4B,0.0318,-0.36332631,BAS
AMIGO1,0.0329,-0.36326391,BAS
TRIM46,0.0202,-0.36323665,BAS
TMEM128,0.0279,-0.36320564,BAS
SNAPIN,0.0289,-0.36271659,BAS
HPN,0.0326,-0.36257816,BAS
ANXA2R,0.014,-0.36255844,BAS
KRTAP9-6,0.0292,-0.36255804,BAS
RAB4A,0.0186,-0.3624296,BAS
ADCY1,0.027,-0.36225449,BAS
DTL,0.0275,-0.36223874,BAS
LYPD1,0.031,-0.36217948,BAS
HIPK1,0.0267,-0.36217113,BAS
JPH2,0.0327,-0.36199826,BAS
FECH,0.0195,-0.36187047,BAS
NAP1L5,0.0342,-0.36184963,BAS
C4orf3,0.0168,-0.36173962,BAS
MPZL1,0.0246,-0.36173124,BAS
IRAK1,0.0379,-0.36172492,BAS
NOS3,0.0215,-0.36163431,BAS
ATM,0.0391,-0.36145862,BAS
LARP4B,0.0181,-0.36145793,BAS
CSKMT,0.0399,-0.36143912,BAS
CAVIN3,0.0237,-0.36130893,BAS
PON2,0.0388,-0.36124445,BAS
LPGAT1,0.0327,-0.36080021,BAS
SMAD1,0.0254,-0.36069191,BAS
STARD3NL,0.0277,-0.36050501,BAS
ZYG11B,0.0308,-0.36045136,BAS
SLC45A1,0.0446,-0.36030883,BAS
NUDT12,0.0178,-0.36027696,BAS
INPP4B,0.0245,-0.3602474,BAS
FAM53A,0.026,-0.36022433,BAS
ZDHHC16,0.0164,-0.36011086,BAS
ZCRB1,0.0192,-0.3599187,BAS
SAMD4A,0.0457,-0.35984472,BAS
TMEM123,0.0326,-0.3598324,BAS
IFT80,0.0304,-0.35983138,BAS
GNG4,0.0414,-0.35976009,BAS
JMJD1C,0.0325,-0.35961339,BAS
SMAD4,0.0282,-0.35944975,BAS
AKTIP,0.03,-0.35941622,BAS
MRFAP1,0.0183,-0.35937004,BAS
REXO2,0.0222,-0.35898002,BAS
TMEM192,0.0258,-0.35880625,BAS
HPS1,0.0418,-0.35838225,BAS
ETFDH,0.0296,-0.35828607,BAS
OR4X1,0.0196,-0.35815021,BAS
PLCB2,0.0453,-0.35798146,BAS
COP1,0.0433,-0.35768297,BAS
SIM1,0.0323,-0.35766297,BAS
NUDCD3,0.0246,-0.3576072,BAS
SGTB,0.0239,-0.35738166,BAS
WFDC5,0.0295,-0.35737257,BAS
SLC35A5,0.0333,-0.35674132,BAS
SPATS2L,0.0231,-0.35658956,BAS
RRAGB,0.0337,-0.35652762,BAS
NAP1L1,0.029,-0.35651565,BAS
ERGIC2,0.0184,-0.35646726,BAS
LINC00525,0.0333,-0.35638634,BAS
N6AMT1,0.0261,-0.35633375,BAS
ATP9B,0.0272,-0.35633174,BAS
TIFA,0.0362,-0.35619197,BAS
ESD,0.0279,-0.35619051,BAS
GET1,0.022,-0.35596793,BAS
TMEM30A,0.0219,-0.35595639,BAS
HBP1,0.0387,-0.35594408,BAS
GSDME,0.0247,-0.35578664,BAS
SCYL3,0.0355,-0.35568315,BAS
VWA8,0.0271,-0.35567801,BAS
FKBP2,0.0365,-0.35549234,BAS
VSTM2L,0.0218,-0.35548379,BAS
DHX29,0.0294,-0.35543674,BAS
PTPN5,0.0476,-0.35515665,BAS
NEDD4L,0.0263,-0.35510027,BAS
TSLP,0.0289,-0.35504194,BAS
PPP3CB,0.0369,-0.35489589,BAS
CAAP1,0.0276,-0.3548489,BAS
FRMD5,0.0193,-0.35482344,BAS
PDCD1LG2,0.0484,-0.35467652,BAS
ELFN2,0.0381,-0.35457278,BAS
KCNK17,0.0483,-0.35454001,BAS
LRBA,0.0315,-0.35422733,BAS
C3orf18,0.041,-0.35393155,BAS
SLC1A3,0.0404,-0.35375725,BAS
CERS4,0.0329,-0.35362182,BAS
CCDC77,0.0412,-0.35337078,BAS
BEND6,0.0489,-0.35271917,BAS
OR13C2,0.0313,-0.35244978,BAS
PSG8,0.0289,-0.35243189,BAS
PMVK,0.0177,-0.35234317,BAS
FCRLA,0.0443,-0.35233662,BAS
PIGP,0.0267,-0.3522486,BAS
LINC01588,0.0205,-0.35200642,BAS
NME7,0.0316,-0.35179742,BAS
ABHD15,0.0245,-0.35151591,BAS
MINDY1,0.0265,-0.35149747,BAS
SPDL1,0.0258,-0.35149339,BAS
PPP2CB,0.0369,-0.3514737,BAS
LETM2,0.0319,-0.35140347,BAS
MAFF,0.0248,-0.35135043,BAS
CACFD1,0.0289,-0.35131513,BAS
DNAJB5,0.0207,-0.35082238,BAS
CLCN3,0.027,-0.35049488,BAS
EIF2S1,0.0232,-0.35039181,BAS
ZC2HC1C,0.0255,-0.35030229,BAS
PRKN,0.0184,-0.3501452,BAS
C11orf16,0.0265,-0.34993942,BAS
CLIP4,0.0368,-0.34976085,BAS
ASB4,0.021,-0.34971214,BAS
ANXA7,0.0266,-0.34944045,BAS
DDX24,0.0403,-0.34940769,BAS
GAS2L1,0.0252,-0.34935352,BAS
TRMT10B,0.0393,-0.34917144,BAS
ZNF316,0.041,-0.34893216,BAS
PLCG1,0.0465,-0.3486356,BAS
AGTPBP1,0.0369,-0.34857796,BAS
ANK3,0.0275,-0.34825154,BAS
SPATA25,0.0403,-0.34824522,BAS
SETBP1,0.0334,-0.34818383,BAS
THEM6,0.0248,-0.34810414,BAS
PRR15,0.0367,-0.34795138,BAS
COX15,0.0274,-0.34765868,BAS
YBX3,0.0343,-0.34764215,BAS
MANEAL,0.0364,-0.34739536,BAS
ZBTB1,0.0306,-0.34736743,BAS
TSPAN4,0.0232,-0.34729259,BAS
PIAS2,0.034,-0.34725763,BAS
SYDE2,0.0258,-0.34707785,BAS
CCR9,0.0357,-0.34699375,BAS
ATXN3,0.0257,-0.34690915,BAS
SYP,0.0323,-0.34689048,BAS
GNPDA1,0.0186,-0.34684778,BAS
SARS1,0.0391,-0.34644899,BAS
SRA1,0.0224,-0.34630197,BAS
SC5D,0.0251,-0.34621538,BAS
SFTPA2,0.0346,-0.34620659,BAS
ERP44,0.0206,-0.3460234,BAS
TPMT,0.031,-0.34590494,BAS
CATSPER3,0.0257,-0.34589971,BAS
MYSM1,0.0469,-0.34585386,BAS
MYL12B,0.0384,-0.34560775,BAS
VWDE,0.042,-0.34556353,BAS
NAALAD2,0.0388,-0.34540213,BAS
COMMD4,0.0287,-0.34516368,BAS
ARHGAP17,0.0309,-0.34509009,BAS
SF3A3,0.0393,-0.34502738,BAS
TCEANC2,0.0367,-0.34493494,BAS
GUCY2D,0.0392,-0.34489168,BAS
CASP3,0.021,-0.34474609,BAS
CBWD3,0.026,-0.34474529,BAS
CHCHD3,0.0302,-0.34472139,BAS
CEP350,0.0235,-0.34461751,BAS
PTP4A2,0.0337,-0.344571,BAS
TAF9,0.0285,-0.34449632,BAS
NLRP6,0.0401,-0.3442262,BAS
CARNS1,0.0462,-0.34419718,BAS
PIMREG,0.0436,-0.34400362,BAS
PDCL,0.0353,-0.34368446,BAS
OR11L1,0.0265,-0.34349295,BAS
BSX,0.0233,-0.34346439,BAS
CDC14A,0.0259,-0.34344063,BAS
GPD1L,0.033,-0.34340267,BAS
C1QL4,0.034,-0.34327737,BAS
ACTR1A,0.0333,-0.34324132,BAS
LOC401357,0.0271,-0.34298783,BAS
PIK3C2A,0.0475,-0.34298706,BAS
CDC16,0.0371,-0.3429395,BAS
CLN6,0.038,-0.34256562,BAS
EIF2B2,0.0262,-0.34255404,BAS
TLN2,0.0293,-0.34253334,BAS
MICALL2,0.042,-0.34241108,BAS
SPIRE2,0.036,-0.3420071,BAS
UFM1,0.0261,-0.34181549,BAS
LILRA2,0.0488,-0.34162189,BAS
TSKS,0.0358,-0.34149718,BAS
TGFB1I1,0.0456,-0.34129824,BAS
TSPAN13,0.0322,-0.34096607,BAS
B3GNT7,0.0468,-0.34074734,BAS
PRKAA1,0.0421,-0.34074513,BAS
PLRG1,0.0318,-0.34043073,BAS
TMEM134,0.0282,-0.34007487,BAS
ASTN2,0.0331,-0.34003999,BAS
NOM1,0.0442,-0.33995342,BAS
RBBP5,0.031,-0.33969456,BAS
AKR1D1,0.0338,-0.33958429,BAS
PEG10,0.0455,-0.3394848,BAS
ACOX3,0.0315,-0.33931796,BAS
PHF13,0.045,-0.33897788,BAS
MOB2,0.0412,-0.33870667,BAS
ARSL,0.031,-0.33767421,BAS
PALM2AKAP2,0.0464,-0.3376469,BAS
INF2,0.0384,-0.33762649,BAS
GABRQ,0.0453,-0.3376234,BAS
CCL27,0.0458,-0.33758683,BAS
UXS1,0.0302,-0.33741906,BAS
REN,0.0299,-0.33736051,BAS
GATAD1,0.0482,-0.33734171,BAS
PSMA2,0.0329,-0.33730228,BAS
CDC25C,0.0422,-0.33720086,BAS
PTTG1,0.0445,-0.33719835,BAS
TMEM127,0.0345,-0.33711759,BAS
PHC2,0.0361,-0.33686633,BAS
EEF1E1-BLOC1S5,0.0367,-0.33672286,BAS
TWSG1,0.0289,-0.33640915,BAS
PDHX,0.0322,-0.33636144,BAS
APOL1,0.0307,-0.33598793,BAS
TKFC,0.0328,-0.33595612,BAS
RHBDD3,0.0454,-0.33587925,BAS
CHPF2,0.0453,-0.33582595,BAS
SUB1,0.0386,-0.33566399,BAS
WLS,0.0298,-0.33542306,BAS
PABIR1,0.0277,-0.3354173,BAS
RPRML,0.0475,-0.33512766,BAS
MPLKIP,0.0289,-0.33504729,BAS
HHATL,0.0334,-0.33447653,BAS
USP38,0.0386,-0.33442503,BAS
SLC41A1,0.0461,-0.33439926,BAS
ETV7,0.0324,-0.33438189,BAS
FBXO22,0.0492,-0.33436694,BAS
TMEM179B,0.0425,-0.33396432,BAS
SOSTDC1,0.035,-0.33395092,BAS
ARSG,0.0464,-0.33386861,BAS
PCYOX1,0.0357,-0.33380474,BAS
TAF12,0.027,-0.33364446,BAS
GINM1,0.0395,-0.33362418,BAS
PLXNB2,0.0306,-0.33359251,BAS
LURAP1,0.029,-0.33354398,BAS
PJVK,0.0443,-0.33330214,BAS
EML3,0.0456,-0.33325321,BAS
TPRXL,0.0426,-0.33299391,BAS
FAM189A2,0.0306,-0.33297784,BAS
KMT2E,0.0382,-0.33292039,BAS
GALNT2,0.023,-0.33288126,BAS
TAFA2,0.025,-0.33285632,BAS
CCDC183,0.035,-0.3325588,BAS
PTMS,0.0352,-0.33243745,BAS
HLA-DOA,0.0334,-0.33242553,BAS
FBXO7,0.0349,-0.33224845,BAS
SELENOF,0.0349,-0.33220115,BAS
CCDC122,0.0374,-0.33214126,BAS
LMX1A,0.0368,-0.33196558,BAS
PSME2,0.0335,-0.3319538,BAS
FGFR1OP2,0.0323,-0.33187958,BAS
GLRX2,0.0322,-0.33148156,BAS
TNFRSF11A,0.0237,-0.33143295,BAS
MRPL1,0.0305,-0.33136825,BAS
CACNA2D4,0.0298,-0.33131036,BAS
AVL9,0.0254,-0.3310609,BAS
STAT1,0.0346,-0.3309526,BAS
BBLN,0.0238,-0.33082558,BAS
TRPM2,0.0487,-0.33074027,BAS
DESI2,0.0307,-0.33068835,BAS
OR7A5,0.0349,-0.33050984,BAS
DDTL,0.0302,-0.33050309,BAS
PPIAL4G,0.0341,-0.33033332,BAS
SLC2A5,0.0335,-0.33030955,BAS
SLC35A4,0.0404,-0.33004521,BAS
BBOF1,0.0371,-0.32996265,BAS
GIPC2,0.0349,-0.32995274,BAS
CYP7B1,0.0269,-0.32981408,BAS
CNOT6L,0.0301,-0.32960573,BAS
IPO9,0.0477,-0.32959414,BAS
PANK3,0.0414,-0.32940287,BAS
RSBN1L,0.0386,-0.32936477,BAS
ACAT2,0.0353,-0.32924587,BAS
ZNF24,0.0434,-0.32924143,BAS
R3HDML,0.0337,-0.3290437,BAS
PPM1A,0.0478,-0.3290106,BAS
GALNT9,0.0341,-0.32884454,BAS
PNMT,0.0377,-0.32879358,BAS
CCDC146,0.0261,-0.32867629,BAS
CHM,0.0306,-0.32864159,BAS
MALT1,0.043,-0.32844137,BAS
TRPA1,0.0252,-0.32788532,BAS
TCF4,0.0442,-0.32779743,BAS
C7,0.0479,-0.32779294,BAS
CD46,0.034,-0.32752234,BAS
POLD3,0.0364,-0.32739836,BAS
G3BP2,0.0483,-0.32702869,BAS
KAT5,0.0459,-0.32702669,BAS
GDPGP1,0.0334,-0.32700963,BAS
SERHL2,0.036,-0.32700581,BAS
ARL14EP,0.0369,-0.32679231,BAS
RHO,0.031,-0.3266177,BAS
CFD,0.0286,-0.32661016,BAS
FAM114A1,0.0308,-0.32642504,BAS
FAM13A,0.0383,-0.32636891,BAS
IL2RB,0.0415,-0.32636195,BAS
HS3ST5,0.0357,-0.32616905,BAS
PSMG2,0.0354,-0.32603913,BAS
KCNMB1,0.0409,-0.32603276,BAS
LINC02138,0.0471,-0.32596426,BAS
TMEM18,0.0367,-0.32586772,BAS
PRRT3,0.0452,-0.32573608,BAS
NUB1,0.0445,-0.32556639,BAS
YME1L1,0.0363,-0.32543121,BAS
CEP57,0.0469,-0.32513754,BAS
PHACTR1,0.0435,-0.32501599,BAS
NSMF,0.0447,-0.32459748,BAS
ZC3H7A,0.0357,-0.3245256,BAS
FPGT-TNNI3K,0.0417,-0.32447121,BAS
NCAPD2,0.0464,-0.32444053,BAS
WDR86-AS1,0.0386,-0.32399889,BAS
CACNB4,0.0378,-0.32393392,BAS
NFATC4,0.0439,-0.32390904,BAS
EID1,0.0324,-0.32385729,BAS
ACVR1C,0.0371,-0.32373993,BAS
PPM1H,0.0362,-0.32360872,BAS
C14orf39,0.0349,-0.32279711,BAS
WDR20,0.034,-0.3227905,BAS
MOCS2,0.0392,-0.3226536,BAS
PRORP,0.0407,-0.32263749,BAS
NKIRAS1,0.04,-0.32244054,BAS
GUCD1,0.0423,-0.32243161,BAS
ETS1,0.0395,-0.32210276,BAS
CPSF7,0.0423,-0.32199064,BAS
CASP8AP2,0.0286,-0.32180868,BAS
PRRX1,0.0423,-0.32150904,BAS
DBNL,0.0469,-0.32128229,BAS
GNB1,0.0465,-0.32096871,BAS
MTRF1,0.0318,-0.32082017,BAS
HEPACAM2,0.0365,-0.32054037,BAS
ST7-AS1,0.0342,-0.32012716,BAS
XPNPEP1,0.0384,-0.31995444,BAS
ZNF540,0.0403,-0.31986354,BAS
ZNRF4,0.0382,-0.31981894,BAS
BORCS7-ASMT,0.042,-0.31930245,BAS
NAPG,0.0301,-0.31926987,BAS
PROZ,0.0455,-0.31908781,BAS
CYP3A4,0.0406,-0.31835649,BAS
NEXMIF,0.0436,-0.31801708,BAS
TRHR,0.0425,-0.31776511,BAS
MAPK1,0.0482,-0.31769732,BAS
FBXW2,0.0484,-0.31748895,BAS
MUCL1,0.0428,-0.3170402,BAS
PIP5K1C,0.0375,-0.31664362,BAS
NSA2,0.0489,-0.31660896,BAS
TKT,0.049,-0.31565351,BAS
FXYD1,0.0479,-0.31560529,BAS
RHOQ,0.0318,-0.3155292,BAS
ACE2,0.0364,-0.31551499,BAS
ALKBH1,0.0372,-0.31524685,BAS
MAGED4B,0.0424,-0.31506638,BAS
FGF9,0.0427,-0.31489543,BAS
FBXL5,0.044,-0.3145307,BAS
UNC79,0.0426,-0.31429978,BAS
PSMA3,0.0419,-0.31405125,BAS
GPALPP1,0.0475,-0.31397947,BAS
LOC118142757,0.0498,-0.31393653,BAS
SMIM13,0.0429,-0.31392553,BAS
AMY2A,0.0451,-0.31350416,BAS
CENPS-CORT,0.038,-0.31348685,BAS
PKD1L2,0.0496,-0.31326795,BAS
FAM3D,0.044,-0.31322329,BAS
EEF1E1,0.046,-0.31293941,BAS
GGTLC2,0.047,-0.31272685,BAS
ZNF708,0.0341,-0.31239795,BAS
FCN2,0.0481,-0.31229492,BAS
CADPS2,0.0347,-0.31210922,BAS
ST13,0.043,-0.31157858,BAS
DGCR5,0.0317,-0.31136885,BAS
NEK7,0.0491,-0.31136756,BAS
FMN2,0.0464,-0.31117663,BAS
FCN3,0.0442,-0.31113899,BAS
ACCS,0.0483,-0.3109512,BAS
UBE2J2,0.0419,-0.31084312,BAS
COPS5,0.0459,-0.31030221,BAS
ARHGAP1,0.0472,-0.30964705,BAS
DRAM1,0.0313,-0.30852958,BAS
SLC25A46,0.047,-0.30838498,BAS
SLBP,0.0497,-0.30836619,BAS
ZNF808,0.0492,-0.30816587,BAS
LIN28A,0.0368,-0.30776133,BAS
SEMA6D,0.0342,-0.30771502,BAS
SPTAN1,0.0479,-0.30723386,BAS
ZNF275,0.0445,-0.30680005,BAS
LRTM1,0.0423,-0.30660147,BAS
PLXND1,0.0428,-0.30639306,BAS
FDXR,0.0411,-0.30622392,BAS
MYL7,0.0393,-0.30542212,BAS
TMEM104,0.0492,-0.30542118,BAS
TDRD10,0.0346,-0.30504942,BAS
CHRNA5,0.0489,-0.30488066,BAS
GPR27,0.0437,-0.30486149,BAS
SYNPR,0.0463,-0.303724,BAS
PODN,0.0395,-0.30329664,BAS
MACO1,0.0485,-0.3031412,BAS
KNL1,0.0393,-0.30304523,BAS
C3,0.038,-0.30265282,BAS
LIM2,0.0405,-0.3025055,BAS
TNFRSF1A,0.0456,-0.30228197,BAS
CHSY1,0.0495,-0.30164526,BAS
PRRC2B,0.0495,-0.3015702,BAS
TTC16,0.0447,-0.30131859,BAS
SLC25A1,0.0494,-0.30084809,BAS
GSE1,0.0432,-0.29999713,BAS
SGSM3,0.0422,-0.2994156,BAS
DDX59,0.0401,-0.29690581,BAS
UBE2E3,0.0498,-0.29526541,BAS
FUBP1,0.0461,-0.29474504,BAS
EGFL6,0.0396,-0.29462217,BAS
PIP,0.0404,-0.2935067,BAS
SAMD11,0.0476,-0.29190897,BAS
PRKRA,0.0471,-0.29132908,BAS
RP1L1,0.0498,-0.29030056,BAS
BTBD17,0.0499,-0.2882652,BAS
FSD1,0.0481,0.28314012,BAS
GMNC,0.0494,0.28467207,BAS
CASQ1,0.0461,0.28970051,BAS
TAX1BP3,0.0478,0.29055988,BAS
CMYA5,0.0471,0.29269365,BAS
MAGED2,0.0484,0.29558874,BAS
PPM1N,0.0443,0.29607648,BAS
SNX11,0.0445,0.29717741,BAS
TSN,0.0475,0.29799233,BAS
ARMT1,0.0383,0.29918758,BAS
C11orf24,0.0488,0.29961514,BAS
EPHA7,0.0442,0.29986877,BAS
WDR11,0.0447,0.30025942,BAS
SYT10,0.0466,0.30146706,BAS
DNAJA2,0.049,0.30150041,BAS
CDK10,0.0461,0.30179874,BAS
NCK1,0.0485,0.3018227,BAS
GABRD,0.0483,0.30291756,BAS
CARD6,0.0343,0.30314343,BAS
FBXO46,0.0495,0.30334381,BAS
PPID,0.0441,0.30375518,BAS
MTRF1L,0.0391,0.30376024,BAS
STIMATE-MUSTN1,0.0488,0.30496751,BAS
KMT2D,0.0466,0.30572643,BAS
HSPB2,0.0386,0.30625084,BAS
GLO1,0.0418,0.30659858,BAS
FUBP3,0.0439,0.30660973,BAS
ACTR8,0.0406,0.30818346,BAS
NEK11,0.0381,0.30823751,BAS
BRWD1,0.0486,0.30918677,BAS
PET117,0.039,0.30920202,BAS
MAGEH1,0.0463,0.309379,BAS
GRPEL1,0.0497,0.30997602,BAS
IPO11,0.0386,0.3100745,BAS
SERPING1,0.0447,0.31119208,BAS
OIP5,0.0499,0.31129059,BAS
TMEM101,0.0425,0.31172276,BAS
RPS10-NUDT3,0.0413,0.3124046,BAS
PAN3,0.0412,0.31282935,BAS
CYFIP1,0.0484,0.31329684,BAS
MEPCE,0.0312,0.31332545,BAS
MRPL46,0.0385,0.31346492,BAS
ZNF268,0.0358,0.31432132,BAS
PDRG1,0.0493,0.31495066,BAS
DIMT1,0.0298,0.3151906,BAS
NEDD4,0.0499,0.315797,BAS
STXBP2,0.0364,0.31592736,BAS
DARS1,0.0431,0.31637726,BAS
FYCO1,0.0347,0.31648511,BAS
CRK,0.0406,0.31698575,BAS
TAGLN2,0.0443,0.31717322,BAS
MMP13,0.0332,0.31865307,BAS
EPS15L1,0.0337,0.31866792,BAS
LRRC59,0.0413,0.31866972,BAS
MYB,0.048,0.31873196,BAS
DAAM1,0.0454,0.3189159,BAS
ABLIM1,0.0421,0.31975942,BAS
DCTN1,0.0474,0.31981347,BAS
AOC1,0.0428,0.32019509,BAS
TMEM63C,0.0444,0.32036976,BAS
ETFA,0.04,0.32112528,BAS
MRPS2,0.045,0.32142705,BAS
ORM1,0.032,0.32194543,BAS
NME6,0.0377,0.32198624,BAS
CFDP1,0.033,0.32246104,BAS
ZNF566,0.0393,0.32269336,BAS
TRUB2,0.042,0.32270924,BAS
FOXN2,0.0421,0.32285443,BAS
ARMCX6,0.0273,0.3229102,BAS
RBM47,0.0359,0.32292894,BAS
DOCK4,0.0375,0.32317202,BAS
FBRS,0.0281,0.32333362,BAS
TSEN2,0.0459,0.32350354,BAS
SLC23A2,0.0435,0.32404857,BAS
UTP23,0.0338,0.32419631,BAS
LRRC46,0.0407,0.32426766,BAS
SLC35A3,0.0409,0.32472248,BAS
PTBP3,0.0475,0.32535898,BAS
EIF4EBP1,0.0433,0.32540231,BAS
